t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464878,3064,5,3.583333,2,0.829702,4.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1574464879,3089,23,4.200000,2,3.979112,3.000000,4.000000,17.600000,23.000000,23.000000,23.000000
1574464880,3114,28,3.600000,2,5.123475,3.000000,3.000000,20.800000,28.000000,28.000000,28.000000
1574464881,3139,3,2.040000,1,0.611010,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464882,3163,20,3.041667,1,3.700519,2.000000,3.000000,16.000000,20.000000,20.000000,20.000000
1574464883,3188,14,2.480000,1,2.485290,2.000000,2.500000,10.700000,14.000000,14.000000,14.000000
1574464884,3213,2,1.520000,1,0.509902,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464885,3238,27,2.680000,1,5.104900,2.000000,2.000000,19.800000,27.000000,27.000000,27.000000
1574464886,3262,3,2.416667,1,0.583592,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464887,3287,6,3.000000,2,0.912871,3.000000,3.000000,5.400000,6.000000,6.000000,6.000000
1574464888,3312,2,1.720000,1,0.458258,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464889,3337,24,2.960000,1,4.448595,2.000000,3.000000,18.000000,24.000000,24.000000,24.000000
1574464890,3361,3,2.041667,1,0.550033,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464891,3386,3,2.080000,1,0.571548,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464892,3411,19,2.440000,1,3.489030,2.000000,2.000000,14.200000,19.000000,19.000000,19.000000
1574464893,3436,19,2.320000,1,3.508561,2.000000,2.000000,13.900000,19.000000,19.000000,19.000000
1574464894,3460,2,1.666667,1,0.481543,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464895,3485,18,2.200000,1,3.329164,2.000000,2.000000,13.200000,18.000000,18.000000,18.000000
1574464896,3510,3,2.200000,1,0.500000,2.000000,2.500000,3.000000,3.000000,3.000000,3.000000
1574464897,3535,2,1.560000,1,0.506623,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464898,3559,5,1.708333,1,0.858673,2.000000,2.000000,4.250000,5.000000,5.000000,5.000000
1574464899,3584,6,1.840000,1,1.027943,2.000000,2.000000,5.100000,6.000000,6.000000,6.000000
1574464900,3609,3,1.880000,1,0.600000,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464901,3634,3,2.120000,1,0.665833,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464902,3658,3,1.875000,1,0.536697,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464903,3683,6,3.240000,2,1.267544,3.000000,4.000000,5.700000,6.000000,6.000000,6.000000
1574464904,3708,6,4.000000,3,0.957427,4.000000,5.000000,5.700000,6.000000,6.000000,6.000000
1574464905,3733,23,2.720000,1,4.277071,2.000000,2.000000,17.000000,23.000000,23.000000,23.000000
1574464906,3757,3,1.875000,1,0.740887,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464907,3782,13,4.440000,2,2.103172,4.000000,5.000000,10.900000,13.000000,13.000000,13.000000
1574464908,3807,5,3.400000,2,0.763763,3.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1574464909,3831,4,2.250000,1,0.675664,2.000000,3.000000,3.750000,4.000000,4.000000,4.000000
